"Sector","Description","DTEMP","DPREC","DREHU","DMMAT90P","DMMAT10P","DMMIT90P","DMMIT10P","SPIDry","SPIWet","WindyDays"
"LiveAnimals","AVG",-0.0194192996754841,0.0120515233705886,-0.0831619781239462,-0.938330012909367,-0.0177633313223045,0.372628061022283,0.00712294080245084,0.287239223190817,-0.219609223492535,0.128379564677619
"LiveAnimals","MAX",0.0936511604875814,0.0129076381063205,-0.0820751570690575,-0.867679424116856,-0.016521842853124,0.779656319537544,0.00843848050508458,0.307679514411117,-0.218484795938311,0.129753618134396
"LiveAnimals","MIN",-0.0410477445806952,0.0117263556142941,-0.0863743523165325,-1.44352257518433,-0.023873418671134,0.314302631114212,-0.000710114385440696,0.281288624565083,-0.225016062265119,0.127514448736083
"PrimaryCrops","AVG",1.27194908867946,0.0462384881093551,-0.013977234799578,-2.09569532126101,0.0825661963486002,-0.286237042365734,0.0187752419111031,0.00964339425026205,-0.147088014654675,-0.179932220611842
"PrimaryCrops","MAX",1.52962635944938,0.0465472400606496,-0.013490568045112,-1.98739967541488,0.0937271626203087,-0.209534147961161,0.0199900125751574,0.0103707444147478,-0.138388866263981,-0.17330783292453
"PrimaryCrops","MIN",1.21797249736153,0.0460277838871057,-0.0163696843511555,-2.66158911671836,0.0799583297756337,-0.291066086322606,0.0123594877005883,0.0037398647717713,-0.184740543613944,-0.213602949825134
"PrimaryLivestock","AVG",-0.356828525660982,-0.000799268670827254,-0.0175634558238681,-0.644042796431199,0.00613538511307228,-0.190441307568369,0.00148237947639607,0.152095290296499,0.124300857195549,-0.2244334951809
"PrimaryLivestock","MAX",-0.34575532085472,-0.000556375878963189,-0.0169643104385113,-0.618310197496843,0.0073585058369828,-0.183294209169711,0.00175731402490871,0.165790326559585,0.130984570628051,-0.218966960712452
"PrimaryLivestock","MIN",-0.361148314512088,-0.00180346790931985,-0.020462351759341,-0.760711821223123,0.00589675129841347,-0.228404389648789,0.00148237947639607,0.148723070622859,0.122561966332029,-0.250355113728512
"ProcessedCrops","AVG",-0.195408792938501,0.0377871946413477,-0.226235950042974,-1.00272353298044,-0.0143481095961249,0.197989282559648,0.0195313575115692,-0.115103329776204,0.0608573661446883,-0.0679323807748901
"ProcessedCrops","MAX",-0.195408792938501,0.0377871946413477,-0.226235950042974,-1.00272353298044,-0.0143481095961249,0.197989282559648,0.0195313575115692,-0.115103329776204,0.0608573661446883,-0.0679323807748901
"ProcessedCrops","MIN",-0.195408792938501,0.0377871946413477,-0.226235950042974,-1.00272353298044,-0.0143481095961249,0.197989282559648,0.0195313575115692,-0.115103329776204,0.0608573661446883,-0.0679323807748901
"ProcessedLivestock","AVG",-1.24625198529399,0.0182330815598212,0.0233493481507995,-1.86283622869137,0.0328866970586496,0.172272332160945,-0.00904128277846805,0.200777039344736,-0.100236942226431,-0.571763108876384
"ProcessedLivestock","MAX",-1.24625198529399,0.0182330815598212,0.0233493481507995,-1.86283622869137,0.0328866970586496,0.172272332160945,-0.00904128277846805,0.200777039344736,-0.100236942226431,-0.571763108876384
"ProcessedLivestock","MIN",-1.24625198529399,0.0182330815598212,0.0233493481507995,-1.86283622869137,0.0328866970586496,0.172272332160945,-0.00904128277846805,0.200777039344736,-0.100236942226431,-0.571763108876384
"Coal","AVG",-0.23676709286772,-0.00510580433745072,-0.295166476394086,0.944503916507829,-0.0174469015922953,0.102688840713673,-0.13128545699859,0.358562361605634,0.200281034807628,-0.241674045813033
"Coal","MAX",0.00202808001472819,0.00464011514397492,-0.291815302327997,1.54694076747203,-0.0163391232719711,0.112518365431032,-0.124900407363708,0.419810685587076,0.343137106596402,-0.183655141103002
"Coal","MIN",-0.290725533581942,-0.00711058279651675,-0.300389640523806,0.815185017972203,-0.0246496451085678,0.0223764643401184,-0.153344225621856,0.343931293520511,0.160380098493194,-0.251310382468555
